observationUri,Timeliness,Relevance,Availability,Accuracy
http://dtp-24.sncs.abdn.ac.uk:8093/observation/a532d304-2e7d-424d-be32-c76f0f5f9378,0.0,0.80,0.33,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/823c0843-f12f-4f31-ac23-9c0cb4aaefdc,0.0,0.82,0.34,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/3e0ccc46-bfef-4ae5-ac98-83872e800033,0.0,0.77,0.38,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/27d09c8d-7335-4260-b484-02a4dfb80dd4,0.0,0.84,0.33,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/182fb4e5-a9a5-4973-9554-fe0c7f68d4a7,0.0,0.11,0.12,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/6b56054b-3373-45a6-b442-1c97dc2387eb,0.0,0.82,0.33,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/652481e2-5dd4-4ea6-8d7e-8a08f69fdf62,0.0,0.71,0.31,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/b91500a4-e3f1-4075-b45d-5301c6fe2115,0.0,0.67,0.56,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/5ec8aabe-a34e-412e-b69a-677048dce9da,0.0,0.84,0.47,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/a1022e74-d82a-4ca5-9a16-ed3febb9e512,0.0,0.84,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/cd0ec005-435f-4f09-902e-c77361e34e65,0.0,0.88,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/5c81f6f6-770b-4c6e-9fc3-fcb7e4b48a2c,0.0,0.78,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/1dd23678-8499-4728-b58d-1f6193adacaa,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/d9d5167d-286a-439a-b724-7b47e529b3ed,0.0,0.78,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/9c3e98d4-413f-4624-936a-2cdd826a6cc0,0.0,0.27,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/6e0266d6-244e-4713-86d9-99d14b5c5aaa,0.0,0.01,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/ba19f28d-05cd-4b65-b505-5c6fa4c0405a,0.0,0.90,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/10ccebcc-eedc-43e7-a527-423a70e819ef,0.0,0.09,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/6b4ba4d6-89af-4730-a1af-8f2634a81327,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/96ba0bee-ea58-4fd5-b562-8a90a33cb3b4,0.0,0.68,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/7a6ecd91-0a39-45af-a2e0-06c67b8b2fdf,0.0,0.72,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/2b042f27-4f20-4370-a76f-3ba2e4a1e3bf,0.0,0.29,0.21,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/f57da88a-ee22-49af-bee6-c4b0db76f370,0.0,0.86,0.70,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/df956be1-417a-44b2-92ad-c770b69f8724,0.0,0.0,0.8,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/26a35738-093d-4eb4-b11b-796db536d9f7,0.0,0.0,0.66,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/07103039-641a-4930-b3ec-6b93e7e43f03,0.0,0.0,0.77,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/fedabbf2-cd3b-41ea-9daa-0b805723a143,0.0,0.0,0.84,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/d7936c24-9a74-471a-bce8-30f93ff97297,0.0,0.31,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/79b49fb4-cdd4-4e41-9a96-790db866d649,0.0,0.33,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/8c7215c3-d357-4c0b-a429-d170792495be,0.0,0.94,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/37d944ab-1bfb-44d9-878a-fabf98dcddbc,0.0,0.92,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/7bd246d9-9a44-4b54-b41e-566382911f3e,0.0,0.74,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/e379aee3-8ffd-4164-b22b-ddc6d3eaf57c,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/d1354dff-cbfb-4ede-8de8-9e2f00e63ec2,0.0,0.79,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/e3131f3a-08ce-4acb-aa58-ffbd9e97adaa,0.0,0.56,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/a9446ba6-6c0a-46a9-a939-dfbc4ca79a09,0.0,0.79,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/90fd9acf-9278-4b0f-afe7-28b70f81e9ba,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/ed45ff9c-d3bf-4842-8b83-ba831eefa900,0.0,0.86,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/3b0a3a1a-0084-4bb2-aa54-3c0a0d194664,0.0,0.87,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/0174b8d2-ef62-432b-a6ac-c1c2df6ed240,0.0,0.77,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/1215ff2e-9e8f-4a38-9b9a-2759e4f1c786,0.0,0.84,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/5db4bd08-a7d3-4911-a6aa-99053f095ebc,0.0,0.63,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/1ef1dcaa-dec5-452b-a184-fa90b98141b6,0.0,0.81,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/c9924029-af1c-46f1-b3d5-012cf0658dd5,0.0,0.76,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/f4f4834f-2e2b-4cf5-94e2-d6ffd875983e,0.0,0.81,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/ba1bb73a-15f6-4ab6-906c-0485b2e09e7e,0.0,0.66,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/da9251ea-92c0-43b3-8b20-047debe89a40,0.0,0.62,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/679718af-6150-41b7-99ad-9ea4dbd78438,0.0,0.84,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/50004960-642c-472f-8f27-f3b8db21282f,0.0,0.81,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/101b4e82-1836-4322-9083-3b708498a384,0.0,0.76,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/e9d883fb-7fef-45c1-ae7f-2b4b3219efbc,0.0,0.74,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/92e8bc06-b015-47c8-acbc-7f1d780f9410,0.0,0.74,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/2cb2dc93-d98c-4bb3-977f-8ec070d9b696,0.0,0.81,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/46a9a5e0-a7ab-4891-96fd-aa9529f16030,0.0,0.82,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/7b0552b4-e72b-4620-a5fe-17e51664e846,0.0,0.68,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/edddfcd7-68ed-49af-b80b-2a8d30a108e2,0.0,0.28,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/d31aea54-96aa-4efc-ba76-c3575798f97b,0.0,0.82,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/f27419ff-f694-4b44-8966-c0d2c2bd652a,0.0,0.78,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/41aef1b9-9ed1-459e-a99c-af14d33072d2,0.0,0.61,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/febd1ca1-ddb6-4970-81ef-312bdafec2d9,0.0,0.58,0.0,0.0
